antecedent,consequent,confidence,lift,support
"[""Strawberry Rhubarb Yoghurt""]","[""Blueberry Yoghurt""]",0.309664694,80.29801358,0.001196564
"[""Blueberry Yoghurt""]","[""Strawberry Rhubarb Yoghurt""]",0.31027668,80.29801358,0.001196564
"[""Icelandic Style Skyr Blueberry Non-fat Yogurt""]","[""Nonfat Icelandic Style Strawberry Yogurt""]",0.217021277,78.66062067,0.001166079
"[""Nonfat Icelandic Style Strawberry Yogurt""]","[""Icelandic Style Skyr Blueberry Non-fat Yogurt""]",0.422651934,78.66062067,0.001166079
"[""Icelandic Style Skyr Blueberry Non-fat Yogurt""]","[""Non Fat Acai & Mixed Berries Yogurt""]",0.239716312,74.88794664,0.001288021
"[""Non Fat Acai & Mixed Berries Yogurt""]","[""Icelandic Style Skyr Blueberry Non-fat Yogurt""]",0.402380952,74.88794664,0.001288021
"[""Blackberry Cucumber Sparkling Water""]","[""Kiwi Sandia Sparkling Water""]",0.256756757,72.44902645,0.00101365
"[""Kiwi Sandia Sparkling Water""]","[""Blackberry Cucumber Sparkling Water""]",0.286021505,72.44902645,0.00101365
"[""Non Fat Raspberry Yogurt""]","[""Icelandic Style Skyr Blueberry Non-fat Yogurt""]",0.381944444,71.08446612,0.001676714
"[""Icelandic Style Skyr Blueberry Non-fat Yogurt""]","[""Non Fat Raspberry Yogurt""]",0.312056738,71.08446612,0.001676714
"[""Lemon Sparkling Water""]","[""Grapefruit Sparkling Water""]",0.313043478,65.19701863,0.001097486
"[""Grapefruit Sparkling Water""]","[""Lemon Sparkling Water""]",0.228571429,65.19701863,0.001097486
"[""Total 2% Lowfat Greek Strained Yogurt With Blueberry""]","[""Total 2% Lowfat Greek Strained Yogurt with Peach""]",0.276661515,56.36720602,0.001364236
"[""Total 2% Lowfat Greek Strained Yogurt with Peach""]","[""Total 2% Lowfat Greek Strained Yogurt With Blueberry""]",0.277950311,56.36720602,0.001364236
"[""Total 2% Lowfat Greek Strained Yogurt With Blueberry""]","[""Total 2% Greek Strained Yogurt with Cherry 5.3 oz""]",0.268933539,54.4544765,0.001326129
"[""Total 2% Greek Strained Yogurt with Cherry 5.3 oz""]","[""Total 2% Lowfat Greek Strained Yogurt With Blueberry""]",0.268518519,54.4544765,0.001326129
"[""Total 2% Greek Strained Yogurt with Cherry 5.3 oz""]","[""Total 2% Lowfat Greek Strained Yogurt with Peach""]",0.265432099,54.07931715,0.001310886
"[""Total 2% Lowfat Greek Strained Yogurt with Peach""]","[""Total 2% Greek Strained Yogurt with Cherry 5.3 oz""]",0.267080745,54.07931715,0.001310886
"[""Total 2% Lowfat Greek Strained Yogurt With Blueberry""]","[""Total 2% with Strawberry Lowfat Greek Strained Yogurt""]",0.361669243,48.77107879,0.001783414
"[""Total 2% with Strawberry Lowfat Greek Strained Yogurt""]","[""Total 2% Lowfat Greek Strained Yogurt With Blueberry""]",0.24049332,48.77107879,0.001783414
"[""Total 2% Lowfat Greek Strained Yogurt with Peach""]","[""Total 2% with Strawberry Lowfat Greek Strained Yogurt""]",0.352484472,47.53251294,0.001730064
"[""Total 2% with Strawberry Lowfat Greek Strained Yogurt""]","[""Total 2% Lowfat Greek Strained Yogurt with Peach""]",0.233299075,47.53251294,0.001730064
"[""Icelandic Style Skyr Blueberry Non-fat Yogurt""]","[""Vanilla Skyr Nonfat Yogurt""]",0.270921986,46.95826002,0.001455693
"[""Vanilla Skyr Nonfat Yogurt""]","[""Icelandic Style Skyr Blueberry Non-fat Yogurt""]",0.252311757,46.95826002,0.001455693
"[""Packaged Grape Tomatoes""]","[""Baby Cucumbers""]",0.216393443,44.92526458,0.001006029
"[""Baby Cucumbers""]","[""Packaged Grape Tomatoes""]",0.208860759,44.92526458,0.001006029
